Code,Section,Subsection,Control Point,Compliance Criteria,Criticality
FV-GFS 03.03,FV 03 RESOURCE MANAGEMENT AND TRAINING,-,Worker training includes the necessary skills and competencies and is supported by records.,"Workers shall be able to demonstrate competence in their assigned tasks.

Tasks that shall require specific training include handling and/or administering of agricultural chemicals, disinfectants, plant protection products (PPPs), biocides, and/or other hazardous substances and operating of equipment.

Evidence of training includes attendance records, certificates, or other relevant qualifications.
Subcontractors shall either be trained by the producer or be able to demonstrate competence through previous training or certification.",Major Must
FV-GFS 32.11.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.11 Invoices and procurement documentation,Invoices and/or procurement documentation of all plant protection products (PPPs) and postharvest treatments are kept.,"Efforts shall be made to avoid illegal and counterfeit PPPs.
Invoices, procurement documentation, or packing slips of all PPPs used and/or stored shall be retained.",Major Must
FV-GFS 32.10.04,FV 32 PLANT PROTECTION PRODUCTS,FV 32.10 Mixing and handling,Facilities are available to deal with operator contamination.,"All plant protection product (PPP)/chemical storage and filling/mixing areas present on the farm shall have eyewash amenities, a source of clean water near the work area, and a first aid kit containing the relevant first aid material.",Minor Must
FV-GFS 13.01,FV 13 EQUIPMENT AND DEVICES,-,"Equipment, tools, and devices are fit for purpose and maintained.","Equipment, tools, and devices coming into contact with products shall be made of materials that are safe for contact with products (nontoxic) and designed and constructed to ensure that they can be cleaned, disinfected, and maintained to avoid contamination.

Equipment, tools, and devices, even those not coming into direct contact with products (scales, plant protection product (PPP) or fertilizer application equipment, thermometers, pH meters, etc.), shall be identified, maintained, routinely verified, and, where applicable, calibrated at least annually. Calibration shall be traceable to a national or international standard or method.
Equipment maintenance, calibration (where applicable), and repairs shall be documented. Maintenance activities shall not present risks to food safety, the environment, or workers.

PPP sprayers: The calibration of PPP application machinery (automatic and nonautomatic) shall have been verified for correct operation within the last 12 months, and this verification shall be certified or documented either by participation in an official scheme (where it exists) or by having been carried out by a person who can demonstrate their competence.

Irrigation/Fertigation equipment: At a minimum, annual maintenance records shall be kept for all methods of irrigation/fertigation machinery/techniques used.",Major Must
FV-GFS 32.10.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.10 Mixing and handling,Access to health checks is available to workers with exposure to applicable plant protection products (PPPs) according to the risk assessment or exposure and toxicity of products.,"The producer shall provide workers who come into contact with PPPs the option of receiving health checks annually or according to the workers’ health and safety risk assessment. The health checks shall honor the privacy of personal information. The risk assessment shall identify the specific chemical exposure that would warrant the health check. Where health checks exist through government farm worker programs or other systems, these may be used as justification in the risk assessment that health care for high-exposure workers is readily available. Workers shall be informed of how to access these health services.",Minor Must
FV-GFS 32.10.03,FV 32 PLANT PROTECTION PRODUCTS,FV 32.10 Mixing and handling,An accident procedure is available near the plant protection product (PPP)/chemical storage.,An accident procedure containing all appropriate information and emergency contact telephone numbers shall be present and display the basic steps of primary accident care. The procedure shall be accessible by all persons working near the PPP/chemical storage(s) and designated mixing area(s).,Minor Must
FV-GFS 04.01,FV 04 OUTSOURCED ACTIVITIES (SUBCONTRACTORS),-,The producer ensures that outsourced activities comply with the principles and criteria of the standard which are relevant to the services provided.,"Outsourced processes and/or the use of subcontractors are identified and controlled.
The producer shall oversee the activities undertaken by the subcontractors to ensure compliance with the relevant principles and criteria in the standard. This applies to each activity and season in which at least one subcontractor is used.
Evidence of compliance with relevant principles and criteria shall be collected by means of an assessment and shall be available during the certification body (CB) audit.
If such an assessment is undertaken by a producer, evidence of compliance with the relevant principles and criteria shall be available. The subcontractor shall agree to such assessment by a producer where relevant to the standard.
A GLOBALG.A.P. approved CB may assess the subcontractor and may issue a letter of conformance with the following information:
- Date of assessment
- Name of the CB
- CB auditor name
- Details of the subcontractor
- List of the assessed principles and criteria

Certificates issued to subcontractors for standards that are not officially approved by the GLOBALG.A.P. Secretariat are not valid evidence of compliance with the standard.",Major Must
FV-GFS 25.06,FV 25 WASTE MANAGEMENT,-,"The water used for washing and cleaning purposes is disposed of in a manner that minimizes the environmental, health, and safety impact.","Wastewater resulting from washing of contaminated machinery (spray equipment, personal protective equipment (PPE), hydrocoolers, etc.) shall be disposed of in a way that does not pose a risk to the environment or human health. Drainage shall not pose a risk to water sources or contaminate the delivery systems.",Minor Must
FV-GFS 20.03.04,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.03 Personal protective equipment,Suitable changing facilities are available where necessary.,The changing facilities (in line with local conditions) shall be used to change clothing and protective outer garments as required. Changing facilities may not be needed if personal protective equipment (PPE) is applied over existing clothing.,Minor Must
FV-GFS 20.03.02,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.03 Personal protective equipment,Personal protective equipment (PPE) is maintained in clean conditions and stored appropriately so as not to pose any contamination risk to personal items.,PPE shall be kept clean according to the type of use and degree of potential contamination. Protective clothing shall be laundered separately from personal items. Dirty and damaged PPE shall be disposed of appropriately. PPE shall be stored in a manner that prevents cross contamination with chemicals.,Major Must
FV-GFS 20.03.03,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.03 Personal protective equipment,There is evidence that the provided personal protective equipment (PPE) is used by the workers.,"There shall be evidence that the provided PPE is being used.
If single-use PPE is used, the supply maintained on hand shall correspond to the needs of the workers, or records demonstrating that new PPE is promptly sourced and restocked shall be available.",Minor Must
FV-GFS 20.03.01,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.03 Personal protective equipment,"Workers, visitors, and subcontractors are equipped with suitable personal protective equipment (PPE).","PPE shall be in accordance with legal requirements, label instructions, and/or as authorized by a competent authority. The PPE shall be available, properly used, and in good repair. Complying with label requirements and requirements in the risk assessment for on-farm operations may include use of the following: appropriate footwear, waterproof clothing, protective overalls, rubber gloves, face masks, respiratory equipment (including replacement filters), ear and eye protection, etc.

PPE shall be provided whenever necessary to workers, subcontractors (acceptable when provided by subcontracting company), and visitors.",Major Must
FV-GFS 20.02.03,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.02 Hazards and first aid,First aid kits are accessible at all permanent sites and fields near the work.,"Complete and maintained first aid kits (i.e., complete and maintained according to prevailing regulations and appropriate to the activities being carried out) shall be available and accessible at all permanent sites and present in selected vehicles (tractor, car, etc.) where required by the risk assessment.",Minor Must
FV-GFS 20.02.04,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.02 Hazards and first aid,There is always at least one person trained in first aid present on the farm whenever on-farm activities are being carried out.,"There shall always be at least one person trained in first aid (within the last five years) present at the location whenever production and handling activities are being carried out, including those mentioned in the relevant principles and criteria of the standard. As a guideline: one trained person per 50 workers.",Minor Must
FV-GFS 20.02.02,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.02 Hazards and first aid,Safety advice for substances hazardous to workers’ health and safety is immediately available and accessible.,"Information related to safe handling of each hazardous substance shall be accessible (websites, telephone numbers, safety data sheets (SDSs), etc.).",Minor Must
FV-GFS 03.02,FV 03 RESOURCE MANAGEMENT AND TRAINING,-,Individuals responsible for technical decision-making on inputs can demonstrate competence.,"Individuals responsible for technical decisions regarding treatments (quantity and type of fertilizer, pre- and postharvest plant protection product (PPP) applications, both organic and inorganic, etc.) shall demonstrate competence in such topics.
If the individual responsible for technical decisions is the producer, a designated worker, or a technical expert, their experience shall be complemented by current technical knowledge (access to technical literature, specific training attendance, active PPP applicator license, etc.).

If the individual responsible for technical decisions is an external qualified adviser, technical competence shall be demonstrated by official qualifications or specific training attendance certificates.",Major Must
FV-GFS 20.01.03,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.01 Risk assessment and training,All staff have received health and safety training according to the risk assessment.,"Basic training on workers’ health and safety shall:
 - Be provided annually to staff, including owners and managers
 - Be provided to new staff and to established staff whenever they are reassigned to tasks requiring additional knowledge
 - Cover all necessary instructions
 - Be given in a format, either written or verbal, that ensures understanding (may only be in verbal and pictorial form without written explanatory content, where appropriate)
 - Include training on safety procedures for equipment, products, or new activities
 - Include training on topics related to accident response, natural disasters, and workers’ health, including illnesses, exposure to chemicals, emergency response procedures, fire safety, and rights and responsibilities associated with workers’ health protection",Major Must
FV-GFS 20.02.01,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.02 Hazards and first aid,Accident and emergency procedures are displayed and communicated.,"Instructions based on the accident and emergency procedures shall be clearly displayed in accessible and visible location(s) for workers, visitors, and subcontractors. These instructions shall be available in the predominant language(s) of the workforce and/or in pictograms.
The procedures shall cover/identify the following:
- The farm address, map, or other location information (e.g., GPS coordinates)
- Contact person(s)
- An up-to-date list of relevant telephone numbers (i.e., police, ambulance, hospital, fire brigade, access to emergency healthcare on site or by means of transport, and suppliers of electricity, water, and gas)
- Emergency evacuation procedures, where applicable

Permanent and legible signs shall indicate potential hazards. Emergency exits and escape route signs shall indicate these must be kept open, accessible, and clear of obstacles. This includes, where applicable, waste pits, flammable structures (fuel tanks, propane/natural gas tanks, etc.), plant protection product (PPP) storage, bodies of water, and any other identified physical hazards.
Warning signs shall be present and in the predominant language(s) of the workforce and/or in pictograms.
Examples of other information that can be included:
- The location of the nearest means of communication (telephone, radio)
- How and where to contact local medical services, hospitals, and other emergency services
- The location of fire extinguisher(s) and availability of water nearby
- The location of large chemical, fuel, and fertilizer storages
- The locations of emergency exits and operation of fire escapes
- Emergency cutoffs for electricity, gas, and water lines
- How to report accidents and dangerous incidents (location, description of incident, number of injured people, type of injuries)",Major Must
FV-GFS 20.01.02,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.01 Risk assessment and training,The farm has health and safety procedures.,"The health and safety procedures shall address the points identified in the risk assessment and be appropriate to the farming operations. The procedures shall be reviewed annually and updated when the risk assessment changes.
The farm infrastructure, facilities, on-farm worker housing, and equipment shall be constructed and maintained to minimize health and safety hazards for workers.
Accident and emergency procedures shall address work areas, worker facilities, and on-farm worker housing and include contingency plans, i.e., the ability of workers to remove themselves from unsafe situations. 
Where required by the risk assessment, emergency equipment shall be accessible and maintained. Consideration shall be given to workers at greater risk. Whenever accidents occur, the cause shall be reviewed and appropriate preventive actions included in revised health and safety procedures.",Major Must
FV-GFS 20.01.01,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.01 Risk assessment and training,There is a documented risk assessment for workers’ health and safety.,"The documented risk assessment shall reflect conditions on the farm, including worker facilities and any on-farm worker housing. The risk assessment shall be reviewed and updated annually and when changes occur that impact workers’ health and safety (new machinery, new plant protection products (PPPs), modified cultivation practices, new health risks, etc.). Incidents and accidents shall be recorded.
Examples of hazards may include moving machine parts, electricity, vehicle traffic, flammable substances, fertilizer, chemical exposure, excessive noise, dust, vibrations, extreme temperatures, ladders, fuel storage, etc.",Major Must
FV-GFS 25.03,FV 25 WASTE MANAGEMENT,-,All forklifts and other driven transport trolleys are clean and well maintained and of a suitable type to avoid contamination through emissions.,"Internal transport should be maintained so as to avoid product contamination, with special attention to fume emissions. Forklifts and other driven transport trolleys should be electric or gas-driven.",Recom.
FV-GFS 13.02,FV 13 EQUIPMENT AND DEVICES,-,Equipment is stored in such a way as to prevent product contamination.,"Equipment (plant protection product (PPP) or fertilizer application equipment, harvesting equipment, wrapping machines, etc.) shall be stored in an appropriate way that prevents possible contamination of products or other materials that may come into contact with the edible portion of the harvested products.",Major Must
FV-GFS 32.10.05,FV 32 PLANT PROTECTION PRODUCTS,FV 32.10 Mixing and handling,Plant protection products (PPPs) are transported between production sites in a safe and secure manner.,The producer shall ensure that the PPPs are transported in a way that mitigates risk to the environment or the health of the worker(s) and shall follow best industry practices.,Minor Must
FV-GFS 32.10.06,FV 32 PLANT PROTECTION PRODUCTS,FV 32.10 Mixing and handling,The farm has documented procedures addressing re-entry times after plant protection product (PPP) application.,"Based on the PPP label instructions there shall be clear, documented procedures that regulate re-entry intervals for PPPs applied to crops (standard operating procedure when intervals start and end, time of interval or signs to enter, how to enter, exceptions to entering during interval, and equipment and time in the field required, etc.). Special attention shall be paid to workers at greater risk.

Where no re-entry period is stated, re-entry shall not be allowed until the chemical has dried on the crop.",Major Must
FV-GFS 32.10.02,FV 32 PLANT PROTECTION PRODUCTS,FV 32.10 Mixing and handling,Plant protection products (PPPs) are mixed and handled according to label requirements.,"Appropriate measuring equipment shall be adequate for mixing PPPs, and the correct handling and filling procedures shall be followed.",Major Must
FV-GFS 20.04.01,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.04 Workers’ welfare,"There is communication between management and workers on issues related to their health, safety, and welfare.","Communication between management and workers about health, safety, and welfare issues shall be able to take place openly (i.e., without fear of intimidation or retaliation).

The communication may be in the form of scheduled meetings, worker hotlines, anonymous comment boxes, daily prework briefings, or individual crew meetings.
On very small operations, communication between a family or limited number of workers may occur continuously.",Minor Must
FV-GFS 23.03,FV 23 ENERGY EFFICIENCY,-,The plan to improve energy efficiency considers minimizing the use of nonrenewable energy.,The producer shall consider reducing the use of nonrenewable energy to the lowest possible and using renewable energy instead.,Minor Must
FV-GFS 24.01,FV 24 GREENHOUSE GASES AND CLIMATE CHANGE,-,"The farm contributes to reducing GHG* emissions and removing them from the atmosphere.
 
*Greenhouse gas (GHG) emissions refer to carbon dioxide (CO₂), methane (CH₄), nitrous oxide (N₂O), and fluorinated gases. Due to their varying potential to contribute to global warming, they are sometimes calculated as CO₂ equivalents (CO₂e).","Available evidence should indicate that the producer has awareness and knowledge of how on-farm practices can contribute to reducing GHG emissions and removing them from the atmosphere, for example in connection to energy, soil health, fertilizers, and food waste.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Recom.
FV-GFS 24.02,FV 24 GREENHOUSE GASES AND CLIMATE CHANGE,-,The farm enables the formation of organic carbon in soils and in biomass.,"Available evidence should indicate that the producer is preparing to implement, or already implementing, agricultural practices that enable the formation of organic carbon in soils and in biomass, for example:
- Crop residue management (burying residues, seeding on residues)
- Use of cover crops in crop rotation, diversification of crop rotation, minimum or no tillage
- Reduction of nutrient release in fertilizer management
- Restoration of ecosystems
- Carbon farming and practices to capture carbon in soil and biomass
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Recom.
FV-GFS 23.04,FV 23 ENERGY EFFICIENCY,-,Management of energy is supported with metrics.,"Acceptable metrics allow calculating, at minimum, the following:
- The total energy use on the farm for each energy source/month
- The proportion of renewable vs. nonrenewable energy in the energy source

Additional calculations can include, for example:
- The amount of energy imported into the farm (e.g., from the grid)
- The amount of energy generated at producer level (e.g., through solar panels, with fuels)
- The amount of energy exported (e.g., to the grid)

Metrics should refer to sources of energy, the farm’s various production sites, ha of land under cultivation, units of time (e.g., growing cycle), nonrenewable and renewable energy sources, the amounts of energy per kg of product and ha of production, and/or the amounts listed above per kg of product.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable. Results (data) on metrics at producer group and farm level should be available to indicate compliance.",Recom.
FV-GFS 20.04.02,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.04 Workers’ welfare,"Workers have access to clean drinking water, food storage, and areas to eat and rest.",A clean place to store food and a clean place to eat shall be provided to the workers if they eat on the farm. Drinking water shall always be provided at no cost to the workers. Worker access to drinking water shall not be restricted. There shall be designated areas for resting and breaks.,Major Must
FV-GFS 28.01.01,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.01 Soil management and conservation,"To improve and optimize soil health, the producer has a soil management plan.",The producer shall demonstrate that consideration has been given to the nutritional needs of the crop and to maintaining soil fertility. Records of soil analyses and crop-specific information shall be available as evidence.,Major Must
FV-GFS 23.01,FV 23 ENERGY EFFICIENCY,-,On-farm energy use is monitored.,"There shall be records of on-farm energy use (e.g., invoices detailing energy consumption). The producer (or, where applicable, the quality management system (QMS) manager) shall be aware of where and how energy is consumed on the farm and through farming practices. In the absence of energy meters (e.g., for small producers), estimations are acceptable.
In Option 2 producer groups, evidence at QMS level is acceptable.",Major Must
FV-GFS 24.03,FV 24 GREENHOUSE GASES AND CLIMATE CHANGE,-,The farm’s contribution to reducing and removing greenhouse gases (GHGs) from the atmosphere is supported with metrics.,"Acceptable metrics include the following:
At minimum, the GHG equivalence of the total amount of energy use on the farm (in CO2e/ha/month and CO2e/kg/month).

Additional calculations can include, for example:
- GHG equivalence of other amounts of energy that have been calculated for the farm
- GHG equivalence as related to, for example, soil and biomass, carbon farming, or environmental footprint

Metrics should refer to the farm’s various production sites, units of time (e.g., growing cycles), and to GHG per kg of product and ha of production.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable. Results (data) on metrics at group and farm level should be available to indicate compliance.",Recom.
FV-GFS 22.03.03,FV 22 BIODIVERSITY AND HABITATS,FV 22.03 Natural ecosystems and habitats are not converted into agricultural areas,Management of biodiversity is supported with metrics.,"Acceptable metrics allow calculating, at minimum, the following:
- The total area (in ha or m2) of natural or seminatural ecosystems and habitats, legally recognized protected areas, or areas effectively protected by other means (on 1 January of the certification body (CB) audit year)
- The total area (in ha or m2) converted into agricultural use or into other uses between 1 January 2008 and 1 January 2014 (on 1 January of the CB audit year)
- The total area (in ha or m2) that has already been restored (on 1 January of the CB audit year)
- The total area (in ha or m2) that is under restoration (on 1 January of the CB audit year)
- The total area (in ha or m2) that is planned for binding restoration (on 1 January of the CB audit year)

Additional biodiversity aspects/metrics can also be calculated, where applicable.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable. Results (data) on metrics at producer group and farm level should be available to indicate compliance.",Recom.
FV-GFS 06.01,FV 06 TRACEABILITY,-,All registered products are traceable back to and from the registered farm where they were produced and handled (where applicable).,"A documented identification and traceability system shall allow registered products to be traced back to the registered farm or supplier, or to the registered farms or suppliers of the Option 2 producer group, and traced forward to the immediate customer (one step forward and one step back).

Harvest information shall link a batch or lot to the production records or the farms of specific producers. Product handling shall also be covered, where applicable.

Records shall be available of the annual verification of the traceability system. This verification can occur through an actual recall and withdrawal or as part of a mock recall and withdrawal exercise.",Major Must
FV-GFS 22.03.01,FV 22 BIODIVERSITY AND HABITATS,FV 22.03 Natural ecosystems and habitats are not converted into agricultural areas,"On the farm (within the farm boundaries), no areas with legally recognized conservation value (or effectively protected by other means) have been converted into agricultural areas or into other uses since 1 January 2014.","Available evidence, such as maps, aerial photos, or documents issued by local or national authorities or authorized service providers, shall indicate that since 1 January 2014, no conversion into agricultural area or into other uses has occurred in parts of the farm (within the farm boundaries) that fulfils the following characteristic:
- Areas where legal protection prevents such conversions (protected areas recognized by national or local legislation, areas with relevant categories of the International Union for Conservation of Nature (IUCN), areas that are protected via other effective means, etc.)",Major Must
FV-GFS 22.02.01,FV 22 BIODIVERSITY AND HABITATS,FV 22.02 Ecological upgrading of unproductive sites,Unproductive sites are used as ecological focus area to protect and enhance biodiversity.,"Available evidence should indicate that unproductive sites (low-lying wet areas, woodlands, headland strips, or areas of impoverished soil, etc.) are addressed in the biodiversity plan and used to protect or enhance biodiversity.

The evidence used in the previous three principles and criteria on biodiversity, if applied in on-farm unproductive sites, can be accepted here too.",Recom.
FV-GFS 22.01.02,FV 22 BIODIVERSITY AND HABITATS,FV 22.01 Management of biodiversity and habitats,Biodiversity is protected.,"The biodiversity plan shall be implemented in order to protect biodiversity, for example via one or more of the following practices or other similar practices:
- Integrated pest management (IPM)
- Implementing measures to mitigate potential negative impact of artificial illumination on biodiversity, especially during the night (e.g., screens or painted glass that helps mitigate potential impacts on migratory birds or other nocturnal biodiversity)
- Allowing for seasonal fallow
- Creating shelters for beneficial predators
- Leaving areas for habitat near fields or greenhouses
- Creating buffer zones along aquatic ecosystems and between production areas or implementing other water management practices
- Enabling soil health and soil biodiversity via crop rotation, reduced or no-tillage farming, erosion control, and/or other soil management practices
- Optimizing and, if possible, reducing the use of agrochemicals and fertilizers
- Implementing measures to protect species

With regard to protection of biodiversity, the guideline provides reference.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Minor Must
FV-GFS 22.01.01,FV 22 BIODIVERSITY AND HABITATS,FV 22.01 Management of biodiversity and habitats,Biodiversity is managed to enable its protection and enhancement.,"A documented biodiversity plan for the farm shall be available. This can be a generic plan that has been made farm-specific.
This biodiversity plan shall:
- Take into account local legislation and tailor the plan contents to the on-farm reality (open field, greenhouse, vertical farming, etc.)
- Contain at least the following sections:
Baseline: initial situation of biodiversity
Measures: how to enable protection and enhance biodiversity based on the baseline
Monitoring: summary of results of the implementation of the measures
Adjustment: refining the measures based on monitoring results
- While recognizing that the legal scope of the producer is on the farm, take into account the landscape beyond the farm and encourage implementation of actions with other stakeholders, for example via informal collaboration, formal projects, sector and network initiatives, etc.

With regard to protection of biodiversity, the guideline provides reference.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Minor Must
FV-GFS 21.05,FV 21 SITE MANAGEMENT,-,The producer recognizes the farm as an agricultural ecosystem that interacts with neighboring landscapes (while the legal scope of the producer is on the farm).,"Available evidence should indicate, for example, that:
- In water management, the producer knows where the water for the farm comes from and where the water that leaves the farm goes to.
- In biodiversity management, the producer knows how the farm can contribute to protecting and enhancing biodiversity via biotope corridors (e.g., trees) that connect habitats on the farms with the landscapes beyond the farm.
- The producer shows awareness of or participation in projects, joint action, or collaboration with other producers or stakeholders in sector- or crop-specific initiatives, etc.",Recom.
FV-GFS 22.01.03,FV 22 BIODIVERSITY AND HABITATS,FV 22.01 Management of biodiversity and habitats,Biodiversity is enhanced.,"Available evidence, such as maps, aerial photos, on-farm visual evidence, documents issued by local or national authorities or authorized service providers, should indicate that the biodiversity plan is implemented to enhance biodiversity, for example via one or more of the following practices:
1) Restoring, improving, or enlarging fragments of any size of:
a) Forests, wetlands, mangroves, grasslands, peatlands, etc.
b) Areas with legal protection or areas effectively protected by other means (e.g., protected areas with relevant categories of the International Union for Conservation of Nature (IUCN))
c) Areas recognized as “High Conservation Value” (HCV) areas
2) Avoiding or controlling invasive alien species
3) Other actions by the producer and partners
With regard to protection of biodiversity, the guideline provides reference.

In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Recom.
FV-GFS 20.04.03,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.04 Workers’ welfare,"On-site living quarters are compliant with applicable local regulations, habitable, and equipped with basic services and facilities.","The on-site living quarters for the workers shall be habitable and have a sound roof, windows and doors, hygienic and safe food preparation areas, and the basic services of drinking water, toilets, and drains.
If there are no drains, septic pits may be acceptable if compliant with prevailing regulations.",Major Must
FV-GFS 20.04.04,"FV 20 WORKERS’ HEALTH, SAFETY, AND WELFARE",FV 20.04 Workers’ welfare,Transportation provided to workers is safe.,Transportation shall be safe for workers and take into account applicable safety requirements and regulations.,Minor Must
FV-GFS 28.01.02,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.01 Soil management and conservation,Soil maps have been prepared for the farm.,"The types of soil should be identified for each site, based on a soil profile, soil analysis, or local (regional) cartographic soil type map.",Recom.
FV-GFS 28.01.03,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.01 Soil management and conservation,"Crop rotation for annual crops is implemented, where feasible.","When rotations of annual crops to improve soil structure and minimize soil-borne pests and diseases are carried out, this shall be verifiable from planting dates or crop or field records. Records shall exist for the previous two-year rotation.",Minor Must
FV-GFS 28.01.05,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.01 Soil management and conservation,The producer uses techniques to reduce the possibility of soil erosion.,"There shall be evidence of control practices and remedial measures (mulching, crossline techniques on slopes, drains, sowing grass or green fertilizers, trees and shrubs on the borders of sites, etc.) to minimize soil erosion (from water, wind, etc.).",Minor Must
FV-GFS 29.04.01,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.04 Nutrient content,"The content of major nutrients (nitrogen, phosphorus, potassium) in applied fertilizers is known.",Documented evidence/labels detailing major nutrient content (or recognized standard values) shall be available for all fertilizers (organic and inorganic) used on registered crops within the last 24 months.,Minor Must
FV-GFS 07.01,"FV 07 PARALLEL OWNERSHIP, TRACEABILITY, AND SEGREGATION ",-,An effective system is in place to identify all products originating from GLOBALG.A.P. certified processes and segregate them from products originating from noncertified processes.,It shall be possible to identify all products originating from GLOBALG.A.P. certified production processes and to keep them separate from products originating from noncertified production processes.,Major Must
FV-GFS 31.04,FV 31 INTEGRATED PEST MANAGEMENT,-,The producer implements prevention measures.,"The producer shall show evidence of implementing at least two activities for the registered crops (individually or per group of crops) that include the adoption of production practices which maintain the vitality of the crops and could reduce the incidence and intensity of pest attacks, thereby reducing the need for intervention.",Major Must
FV-GFS 31.03,FV 31 INTEGRATED PEST MANAGEMENT,-,"There is an integrated pest management (IPM) plan describing the measures used at farm level to manage the relevant pests, diseases, and weeds that affect the registered crop(s).","The IPM plan shall describe the measures the producer uses or would consider using to manage the pests, diseases, and weeds relevant to the registered crop(s). It shall include:
- A stepwise approach based on the preventive, nonchemical, and chemical methods which shall be applied depending on the crop and the specific situation as per judgement of the producer or expert adviser
- Monitoring of pests, diseases, and weeds to determine whether interventions are needed, with action thresholds defined by the producer
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Minor Must
FV-GFS 31.07,FV 31 INTEGRATED PEST MANAGEMENT,-,Anti-resistance recommendations have been followed to maintain the effectiveness of available plant protection products (PPPs).,"If the level of a pest, disease, or weed requires repeated controls in the crops, there shall be evidence that anti-resistance recommendations either on the label or from other sources (where available) are followed. If only one chemical mode-of-action or class of PPP exists or is permitted for use in the country of production or country of export, rotation of product types may not be possible due to lack of availability of suitable alternatives.

The resistance management strategy shall be documented and consider the following points:
- Always follow the recommendations on the product label.
- Avoid lower dose rates to ensure optimal application quality.
- Use rotation programs and mixtures of PPPs with different modes of action that are effective against the target, where available.",Minor Must
FV-GFS 31.06,FV 31 INTEGRATED PEST MANAGEMENT,-,The producer makes interventions to manage pests.,"The producer shall show evidence for situations in which specific interventions were made against pests adversely affecting the economic value of a crop. The producer may elect to take no action against the pest and incur the economic loss. Where possible, nonchemical approaches shall be considered.
“N/A” if the producer did not intervene.",Major Must
FV-GFS 07.03,"FV 07 PARALLEL OWNERSHIP, TRACEABILITY, AND SEGREGATION ",-,A final verification step is in place to ensure correct dispatch of products originating from certified and noncertified production processes.,The check shall be documented to show that the products are correctly dispatched according to the certification status.,Major Must
FV-GFS 31.01,FV 31 INTEGRATED PEST MANAGEMENT,-,Implementation of integrated pest management (IPM) is assisted through training or advice.,"Where the technically responsible person is the producer, experience shall be complemented by technical knowledge (access to IPM technical literature, specific training attendance, etc.) or the use of tools (software, on-farm detection methods, etc.).
Where an external adviser has provided assistance, training and technical competence shall be demonstrated via official qualifications, specific training, etc., unless this person has been employed for that purpose by a competent organization.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Minor Must
FV-GFS 31.05,FV 31 INTEGRATED PEST MANAGEMENT,-,The producer practices monitoring of their registered crops to plan pest and disease management.,"The producer shall show evidence of implementing at least two activities for the registered crops that will determine when and to what extent pests and their natural enemies are present, and using this information to plan what pest management techniques are required.",Major Must
FV-GFS 31.02,FV 31 INTEGRATED PEST MANAGEMENT,-,"The producer is informed about the relevant pests, diseases, and weeds that affect their registered crops.","The producer shall offer a verbal demonstration of their knowledge on identifying the presence and potential damage of the relevant pests, diseases, and weeds that affect the registered crops. This demonstration can take place in the field, or the producer can explain how they train the corresponding workers on the relevant pests, diseases, and weeds that affect the main registered crop(s).
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Major Must
FV-GFS 27.04,FV 27 GENETICALLY MODIFIED ORGANISMS,-,Adventitious mixing of genetically modified (GM) crops with conventional crops is avoided.,A visual assessment of the identification of GM crops and the integrity of the storage shall be made.,Major Must
FV-GFS 27.03,FV 27 GENETICALLY MODIFIED ORGANISMS,-,The producer’s direct clients have been informed of the genetically modified organism (GMO) status of the product.,Documented evidence of communication shall be kept and shall allow verification that all products supplied to direct clients meet the agreed requirements.,Major Must
